time,a,b,c,d,e,f
2022-09-01 15:11:30,0,0,0,0,0,0
2022-09-12 15:43:22,0,0,0,1,1,0
2022-09-13 14:05:58,4,2,11,2,2,0
2022-09-14 17:00:33,4,2,11,2,3,0
2022-09-15 17:00:37,11,4,15,4,16,0
2022-09-16 17:00:32,12,4,15,4,26,0
2022-09-20 17:00:33,12,4,15,4,32,0
2022-09-22 17:00:36,12,4,15,4,34,0
2022-09-23 17:00:36,12,4,18,4,46,0
2022-09-26 17:00:34,13,4,19,5,48,0
2022-09-27 17:00:34,17,4,19,6,63,1
2022-09-28 17:00:52,22,5,25,7,68,1
2022-09-29 17:00:34,29,11,28,9,68,1
2022-09-30 17:00:43,33,11,29,12,75,1
2022-10-03 16:00:33,35,12,29,13,85,1
2022-10-04 16:00:35,42,14,32,20,88,1
2022-10-05 16:00:35,42,14,34,23,93,1
2022-10-06 16:00:35,44,14,35,26,95,1
2022-10-07 16:00:35,44,14,35,26,98,1
2022-10-10 16:00:34,49,16,36,29,101,1
2022-10-12 16:00:35,49,19,39,31,109,1
2022-10-13 16:00:37,49,19,39,32,111,1
2022-10-17 16:00:36,50,19,39,35,115,1
2022-10-18 16:00:36,62,24,47,35,117,1
2022-10-19 16:00:31,71,26,48,37,118,1
2022-10-19 18:04:36,72,26,50,38,122,2
2022-10-20 16:00:33,72,26,50,38,124,2
2022-10-20 17:10:19,72,26,50,41,126,2
2022-10-21 16:00:36,72,29,51,43,131,2
2022-10-23 23:22:38,73,32,59,46,133,2
2022-10-24 16:00:39,76,33,60,46,136,2
2022-10-25 16:00:35,84,33,60,46,138,3
2022-10-26 16:00:38,91,34,64,48,141,3
2022-10-27 16:00:35,98,34,68,54,152,3
2022-10-28 16:00:34,98,36,75,71,161,3
2022-10-31 16:00:35,100,39,75,72,163,3
2022-11-02 16:00:36,102,40,80,77,169,3
2022-11-03 16:00:36,103,41,83,84,182,3
2022-11-04 16:00:39,103,42,86,88,198,3
2022-11-07 16:00:34,108,46,98,92,205,3
2022-11-08 16:00:34,110,48,105,98,212,3
2022-11-10 16:00:42,111,52,107,107,226,5
2022-11-17 20:52:51,127,55,111,130,245,6
2022-11-18 16:01:57,133,55,111,130,250,6
2022-11-20 16:00:35,133,65,111,133,253,6
2022-11-23 19:04:20,143,68,120,150,277,6
2022-11-24 16:00:34,148,70,125,153,295,13
2022-11-26 16:00:35,150,70,127,154,319,13
2022-11-28 16:00:59,150,70,128,160,323,13
2022-11-30 20:19:18,153,72,147,166,335,13
2022-12-01 21:44:30,155,74,147,168,349,13
2022-12-02 16:49:23,156,74,152,174,351,15
2022-12-07 17:00:45,187,79,166,187,395,21
2022-12-08 17:00:39,190,79,166,187,395,21
2022-12-09 17:01:02,190,83,168,191,397,21
2022-12-13 17:00:40,190,83,168,191,398,21
2022-12-13 17:00:40,0,0,0,0,0,0
2022-12-18 22:22:01,2,1,3,1,4,0
2022-12-19 16:00:36,7,0,4,2,6,0
2022-12-20 16:00:36,7,0,9,5,6,0
2022-12-21 16:00:38,15,5,16,7,6,0
2023-01-02 16:00:33,15,5,16,9,9,0
2023-01-03 16:00:35,15,5,19,9,14,0
2023-01-04 16:00:33,17,8,22,10,19,1
2023-01-09 16:00:35,21,8,24,10,19,1
2023-01-11 16:00:35,21,8,24,10,20,2
2023-01-12 16:00:35,21,8,24,24,21,2
2023-01-14 16:01:01,25,9,25,24,24,2
2023-01-16 16:00:36,31,13,29,27,26,2
2023-01-18 16:01:00,31,13,29,30,30,2
2023-01-19 16:00:55,31,13,37,34,33,3
2023-01-21 16:00:57,35,17,46,44,41,4
2023-01-24 20:21:57,47,20,55,57,50,4
2023-01-25 16:01:32,48,22,59,61,58,6
2023-01-26 16:00:53,49,26,65,62,61,6
2023-01-27 16:00:54,49,26,67,63,65,6
2023-02-13 16:01:07,50,28,67,63,65,6
2023-02-14 16:00:35,52,29,70,65,66,6
2023-02-15 16:00:55,52,29,70,65,67,6
2023-02-16 16:02:04,58,35,78,73,75,8
2023-02-18 16:00:34,59,35,81,81,79,8
2023-02-19 16:00:41,59,35,82,86,81,8
2023-02-20 16:01:37,67,37,84,96,88,8
2023-02-22 16:00:33,68,39,85,96,88,8
2023-02-24 16:00:34,76,40,89,98,89,8
2023-02-27 16:02:18,86,44,93,101,96,8
